player,country,age,attack,block,serve,set,dig,receive,position
Vargas,TUR,24,20.25,1.62,1.5,0.0,7.75,0.0,OP
Koga,JPN,28,17.67,0.78,1.11,0.0,11.22,1.11,OH
Van Ryk,CAN,25,16.44,0.89,1.11,0.0,12.56,0.11,OH
Li Y.Y.,CHN,24,16.33,0.56,1.0,0.0,8.22,3.56,OH
Gray,CAN,30,15.22,0.44,1.0,0.0,9.44,5.56,OH
Egonu,ITA,25,14.6,2.4,2.2,0.0,4.2,0.0,OP
Stysiak,POL,23,14.12,1.5,0.38,0.0,8.38,0.0,OP
Gabi,BRA,30,14.12,0.88,1.12,0.0,9.5,5.25,OH
Ishikawa,JPN,24,13.78,0.56,0.56,0.0,7.67,4.11,OH
Ana Cristina,BRA,20,12.62,1.38,0.88,0.0,6.75,4.62,OH
Peña Isabel,DOM,31,12.22,0.67,0.33,0.0,8.67,4.0,OH
Nikolova M.,BUL,21,12.0,0.4,2.2,0.0,4.6,0.0,OP
Thompson,USA,27,11.8,1.2,0.8,0.0,5.8,0.0,OP
M. Chatchu-On,THA,24,11.5,0.25,1.38,0.0,7.12,8.25,OH
Bjelica,SRB,32,11.38,1.0,0.88,0.0,5.75,0.12,OP
Uzelac,SRB,20,11.25,1.0,0.75,0.25,5.5,4.0,OH
Rosamaria,BRA,30,10.86,1.14,0.29,0.0,6.0,0.0,OP
Hayashi,JPN,24,10.67,0.33,0.78,0.0,11.33,7.0,OH
Gaila,DOM,27,10.62,1.5,0.12,0.0,6.5,0.0,OP
Łukasik,POL,24,10.0,1.25,0.12,0.0,6.62,6.25,OH
Sohwi,KOR,27,10.0,0.56,0.33,0.0,7.67,2.56,OH
Dambrink,NED,21,9.89,0.56,0.44,0.0,4.56,0.0,OP
Larson,USA,37,9.89,0.56,1.11,0.0,7.78,3.44,OH
Gong X.Y.,CHN,27,9.56,1.44,0.78,0.0,8.89,2.33,OP
Alsmeier,GER,24,9.33,0.44,0.89,0.0,8.22,6.78,OH
K. Pimpichaya,THA,26,9.0,0.0,0.25,0.25,5.0,0.12,OP
Yuan X.Y.,CHN,27,9.0,2.0,0.78,0.0,1.44,0.44,MB
Stigrot,GER,29,9.0,0.78,0.22,0.11,6.67,7.33,OH
Karakurt,TUR,24,8.88,1.25,0.5,0.0,6.12,2.88,OH
